"TOA5","HVL","CR1000","E11924","CR1000.Std.16","CPU:Promice2015e.CR1","65241","TxBufferTable"
"TIMESTAMP","RECORD","TxBufferString"
"TS","RN",""
"","","Smp"
"2020-11-02 00:00:00",5224,"'2020-11-02 00:00:00',883,4.809,44.65,67.67,4.332,7.365,25.8,6.541,-39.2,-6.719,3.992,'!W',2.647,NAN,NAN,-109,NAN,-109,NAN,-109,-109,-109,-109,-0.424,0.935,'GT215811.00','NH6133.52157','EH00747.77521','995.0','0.74',121.8,12.92,-126.2,3.919,75.56,5.39,17.3,'!I'  "
"2020-11-03 00:00:00",5225,"'2020-11-03 00:00:00',872,2.285,42.25,90.2,3.455,18.22,15.53,2.929,-6.537,-0.77,1.968,'!W',2.664,NAN,NAN,-109,-109,-109,-109,-109,-109,-109,-109,-0.539,0.966,'GT215811.00','NH6133.52127','EH00747.77577','993.8','0.74',125.7,12.86,-120.4,1.105,98.7,2.559,350.9,'!I'  "
"2020-11-04 00:00:00",5226,"'2020-11-04 00:00:00',888,0.33,40.3,96.8,2.953,7.457,16.68,2.239,-7.39,1.15,0.201,'!W',2.667,NAN,NAN,NAN,NAN,-109,NAN,-102.9,-102.9,-102.9,-109,-0.685,0.325,'GT215811.00','NH6133.52171','EH00747.77513','996.7','0.78',122.2,12.81,-106.9,-0.208,94.6,2.933,67.1,'!I'  "
"2020-11-05 00:00:00",5227,"'2020-11-05 00:00:00',897,-0.639,39.33,97.3,2.689,338.4,12.96,5.683,-2.701,0.704,-0.694,'!W',2.671,NAN,NAN,-109,-109,NAN,-109,-109,-109,-109,-109,-0.457,0.844,'GT215811.00','NH6133.52198','EH00747.77669','995.9','0.97',124.7,12.76,-98.7,-0.646,98.5,4.418,5.702,'!I'  "
"2020-11-06 00:00:00",5228,"'2020-11-06 00:00:00',902,2.795,42.64,96.6,3.356,8.65,39,5.419,-13.43,-1.446,2.687,'!W',2.658,NAN,NAN,-43.37,-48.61,-109,-31.04,-25.22,-27.7,-77.61,-41.21,-0.495,0.999,'GT215810.00','NH6133.52177','EH00747.77568','994.0','1.03',132.7,12.9,-93.6,4.667,99.3,4.717,18.06,'!I'  "
"2021-01-29 00:00:00",5229,"'2021-01-29 00:00:00',918,-10.45,29.45,67.02,0.285,354.1,19.16,15.11,-35.5,-15.81,-11.12,'!W',2.387,NAN,NAN,-11.38,-12,-12.37,-10.02,-11.28,-10.9,-10.53,-11.65,0.017,-0.258,'GT215800.00','NH6113.01099','EH00700.68744','718.6','0.69',125.9,12.64,-82.3,-10,68.84,0.229,335.3,'!I'  "
"2021-01-30 00:00:00",5230,"'2021-01-30 00:00:00',917,-9.31,30.73,73.89,0.419,42.5,41.87,29.8,-28.94,-9.81,-9.42,'!W',2.851,NAN,NAN,-68.35,-9.56,-9.66,-8.67,-9.55,-9.5,-9.38,-9.51,0.034,-0.264,'GT215759.00','NH6113.01055','EH00700.68735','721.1','0.69',129.3,12.97,-82,-9.29,87.8,0.382,32.67,'!I'  "
"2021-01-31 00:00:00",5231,"'2021-01-31 00:00:00',917,-8.45,31.61,87.4,0.416,27.45,35.09,27.49,-0.998,-9.76,-8.39,'!W',2.701,NAN,NAN,-73.83,-8.68,-9.36,-7.779,-8.29,-8.04,-7.668,-8.73,0.037,-0.251,'GT215759.00','NH6113.01020','EH00700.68917','719.2','0.69',126.3,12.94,-84.7,-7.242,92.4,0.175,162.2,'!I'  "
"2021-02-01 00:00:00",5232,"'2021-02-01 00:00:00',913,-7.336,32.69,91,0.395,34.95,9.08,15.05,-0.191,-5.058,-7.391,'!W',2.713,NAN,NAN,-81.8,-10.68,-10.85,-7.352,-10.06,-9.81,-9.58,-10.17,0.031,-0.261,'GT215759.00','NH6113.01017','EH00700.68847','716.9','0.69',127.7,12.74,-88.3,-9.02,87.6,0.285,348.4,'!I'  "
"2021-02-02 00:00:00",5233,"'2021-02-02 00:00:00',914,-11.09,28.87,83.7,0.301,34.03,47.48,39.45,-0.726,-24.08,-12.36,'!W',2.734,NAN,NAN,-54.92,-16.31,-16.69,-13.85,-14.22,-13.47,-13.18,-15.82,0.02,-0.268,'GT215759.00','NH6113.01063','EH00700.68887','717.9','0.68',130,13.02,-82.7,-11.89,79.32,0.809,5.709,'!I'  "
"2021-02-03 00:00:00",5234,"'2021-02-03 00:00:00',919,-11.51,28.37,69.05,0.29,18.06,38.47,33.42,-0.966,-24.9,-12.83,'!W',2.744,NAN,NAN,-83.9,-20.67,-23.55,-17.29,-15.9,-14.53,-14.4,-19.24,0.024,-0.268,'GT215800.00','NH6113.01092','EH00700.68876','718.5','0.83',131.4,13,-77.91,-12.42,69.56,0.17,48.5,'!I'  "
"2021-02-04 00:00:00",5235,"'2021-02-04 00:00:00',925,-12.73,27.16,63.42,0.341,28.44,59.22,43.93,-1.357,-38.64,-13.82,'!W',2.795,NAN,NAN,-91,-22.78,-24.15,-19.11,-18.48,-17.21,-42.62,-21.65,0.017,-0.282,'GT215800.00','NH6113.01029','EH00700.68839','721.0','0.83',133.6,13,-71.91,-14.37,63.53,0.064,351.3,'!I'  "
"2021-02-05 00:00:00",5236,"'2021-02-05 00:00:00',934,-13.98,25.94,60.16,0.541,58.72,66.02,45.08,-1.171,-39.25,-14.67,'!W',2.743,NAN,NAN,-99.2,-22.7,-24.85,-19.81,-18.41,-17.14,-17.29,-21.44,0.014,-0.285,'GT215758.00','NH6113.00985','EH00700.68943','717.7','0.90',129.2,13.02,-61.62,-14.99,60.74,0.188,17.59,'!I'  "
"2021-02-06 00:00:00",5237,"'2021-02-06 00:00:00',941,-12.7,27.19,53.82,0.545,49.15,67.88,47.82,-40.49,-33.17,-13.59,'!W',2.845,NAN,0.227,-96.5,-15.92,-18.06,-15.13,-13.89,-13.43,-12.6,-15.42,0.02,-0.261,'GT215758.00','NH6113.01015','EH00700.68759','719.7','0.81',131.5,13.03,-56.31,-11.6,52.65,0.499,7.876,'!I'  "
"2021-02-07 00:00:00",5238,"'2021-02-07 00:00:00',944,-11.54,28.3,56.96,0.537,59.02,74.31,52.09,-103.1,-38.33,-12.82,'!W',2.729,NAN,NAN,-99.2,-20.8,-22.58,-19.82,-16.31,-14.74,-14.96,-19.55,0.003,-0.275,'GT215758.00','NH6113.01054','EH00700.68757','722.6','0.82',131.6,13.02,-56.4,-12.34,68.68,0.406,339.5,'!I'  "
"2021-02-08 00:00:00",5239,"'2021-02-08 00:00:00',942,-11.93,27.97,55.6,0.785,68.09,77.06,54.97,-108.5,-33.26,-12.89,'!W',2.401,NAN,NAN,-102.9,-21.06,-22.73,-19.08,-17.27,-15.92,-15.8,-19.8,0.01,-0.258,'GT215758.00','NH6113.01053','EH00700.68789','722.7','0.80',135.1,13.04,-58.03,-13.28,58.91,0.454,10.02,'!I'  "
"2021-02-09 00:00:00",5240,"'2021-02-09 00:00:00',938,-11.91,28.01,51.1,0.7,53.21,53.66,40.31,-78.13,-23.76,-12.5,'!W',2.813,NAN,0.24,-99.2,-11.6,-12.15,-11.21,-10.69,-10.68,-10.34,-11.17,0.024,-0.241,'GT215758.00','NH6113.00976','EH00700.68790','721.0','0.79',133.1,13.1,-63.41,-10.06,49.71,1.01,83.9,'!I'  "
